area,population,1/1/2021,1/2/2021,1/3/2021,1/4/2021,1/5/2021,1/6/2021,1/7/2021,1/8/2021,1/9/2021,1/10/2021,1/11/2021,1/12/2021,1/13/2021,1/14/2021,1/15/2021,1/16/2021,1/17/2021,1/18/2021,1/19/2021,1/20/2021,1/21/2021,1/22/2021,1/23/2021,1/24/2021,1/25/2021,1/26/2021,1/27/2021,1/28/2021,1/29/2021,1/30/2021,1/31/2021,2/1/2021,2/2/2021,2/3/2021,2/4/2021,2/5/2021,2/6/2021,2/7/2021,2/8/2021,2/9/2021,2/10/2021,2/11/2021,2/12/2021,2/13/2021,2/14/2021,2/15/2021,2/16/2021,2/17/2021,2/18/2021,2/19/2021,2/20/2021,2/21/2021,2/22/2021,2/23/2021,2/24/2021,2/25/2021,2/26/2021,2/27/2021,2/28/2021,3/1/2021,3/2/2021,3/3/2021,3/4/2021,3/5/2021,3/6/2021,3/7/2021,3/8/2021,3/9/2021,3/10/2021,3/11/2021,3/12/2021,3/13/2021,3/14/2021,3/15/2021,3/16/2021,3/17/2021,3/18/2021,3/19/2021,3/20/2021,3/21/2021,3/22/2021,3/23/2021,3/24/2021,3/25/2021,3/26/2021,3/27/2021,3/28/2021,3/29/2021,3/30/2021,3/31/2021
Alameda,1685886,541,660,628,1252,1239,1121,852,874,552,525,989,860,821,755,653,440,325,576,642,658,485,432,321,248,508,432,375,425,427,268,204,424,358,346,333,284,224,157,304,262,263,204,228,134,115,156,198,173,162,147,104,90,194,150,139,121,122,95,72,123,127,118,120,112,87,54,118,113,86,109,94,79,60,86,88,115,76,85,73,69,88,92,103,98,96,62,72,122,101,98
Alpine,1117,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Amador,38531,14,26,19,64,40,40,21,13,7,7,24,14,17,14,6,7,3,7,14,9,31,22,5,3,33,40,11,16,37,12,4,10,11,31,4,3,5,6,21,7,8,12,4,4,3,5,4,7,4,4,4,2,8,5,2,5,3,6,2,5,3,2,2,1,1,4,3,3,2,2,1,3,3,5,1,2,2,4,3,2,4,8,6,6,2,5,5,4,6,3
Butte,217769,74,101,107,192,159,140,113,97,60,81,118,114,86,79,84,38,30,72,87,66,56,70,49,30,84,66,42,39,40,31,35,42,42,27,36,33,18,17,33,22,27,26,24,15,16,24,18,27,18,18,10,8,23,13,15,12,21,11,12,15,16,10,7,7,11,3,15,15,13,10,11,10,9,13,13,12,9,11,8,6,16,9,12,10,10,10,7,13,9,12
Calaveras,44289,11,15,20,37,41,46,24,17,13,10,25,18,37,22,17,7,14,13,22,16,20,9,7,3,13,15,8,9,15,7,13,23,8,9,14,2,4,2,4,1,4,2,3,3,4,3,4,2,0,5,1,1,1,2,1,2,8,3,5,6,4,8,1,1,4,3,4,4,2,6,3,2,0,4,1,5,3,2,1,4,5,4,2,3,1,1,3,2,1,6
Colusa,22593,8,9,10,29,25,25,21,12,13,6,24,18,12,12,15,11,12,14,17,22,16,7,2,4,11,12,7,6,7,4,2,7,5,8,5,4,4,2,11,8,9,7,5,0,0,4,0,3,3,2,0,1,1,0,3,2,3,0,1,0,1,0,1,2,0,2,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,2,2,0,0,0,0,1,0,1
Contra Costa,1160099,377,480,521,890,849,881,805,779,525,349,787,678,646,581,555,331,262,488,517,496,454,416,238,213,390,357,281,298,243,172,184,331,245,280,239,189,161,146,237,208,188,172,167,150,120,148,175,148,141,111,108,89,165,135,134,108,102,82,71,127,109,111,98,99,80,61,99,93,93,99,73,76,61,105,62,82,69,73,59,60,83,95,99,80,67,60,70,74,69,88
Del Norte,27558,1,6,2,13,9,7,6,2,2,2,3,4,5,4,6,4,5,0,1,2,1,2,1,1,4,1,1,1,1,1,1,2,3,6,5,6,1,4,4,3,6,6,5,10,2,4,4,8,6,5,5,4,6,1,2,1,10,4,2,2,5,7,3,8,4,5,5,5,8,2,5,6,4,14,3,8,4,9,6,1,15,6,5,5,6,3,10,7,5,8
El Dorado,193098,52,92,55,128,133,118,112,101,70,32,87,94,83,93,74,49,22,56,68,60,47,49,33,16,35,24,25,26,13,17,20,36,39,40,20,26,20,7,29,31,27,31,21,16,11,31,17,10,12,14,9,10,18,17,13,12,16,5,4,11,24,8,10,15,5,4,2,3,7,13,14,9,8,10,6,16,10,13,9,6,10,16,10,6,10,5,14,15,20,19
Fresno,1032227,432,1072,542,1151,1267,1223,842,957,814,410,811,879,871,717,632,538,272,551,612,520,420,405,340,184,437,372,357,291,288,214,179,312,331,302,221,215,202,112,230,209,241,175,155,154,114,169,200,164,140,170,131,83,143,162,161,147,144,105,77,181,138,147,144,163,108,93,178,100,119,108,115,97,59,108,127,136,111,97,84,61,114,98,114,91,119,60,52,82,83,63
Glenn,29348,20,16,15,26,31,25,25,16,16,15,24,29,28,15,13,5,4,11,17,11,18,9,4,3,6,11,10,4,5,5,3,11,15,12,9,4,6,1,3,7,4,2,2,3,1,2,3,9,0,6,5,3,2,6,2,2,3,3,0,2,5,6,0,5,5,0,2,1,4,3,3,1,1,5,5,8,7,4,0,1,3,8,5,1,1,0,1,3,6,0
Humboldt,134098,17,39,27,37,36,36,26,27,24,18,61,39,54,32,43,27,20,38,38,24,43,23,24,19,39,34,22,22,17,13,11,16,22,12,10,10,10,11,21,8,8,8,13,8,13,13,7,23,15,12,12,8,12,12,17,12,7,6,6,23,19,19,11,14,7,10,10,14,12,10,17,5,7,14,6,4,8,8,9,7,5,5,9,3,5,2,5,3,5,2
Imperial,191649,64,86,81,254,153,173,250,193,66,68,162,115,89,124,110,34,34,70,69,81,72,92,35,31,95,50,71,54,44,15,21,71,43,51,34,47,19,10,26,19,28,40,23,9,7,8,18,13,15,26,5,8,19,23,20,15,6,8,8,27,10,10,17,12,10,4,9,7,9,15,7,11,5,18,21,11,16,16,12,6,18,15,8,9,16,24,12,27,20,29
Inyo,18453,8,24,13,17,27,14,16,13,14,10,28,18,17,12,7,18,4,6,12,7,10,9,11,9,16,6,7,4,5,12,4,13,10,3,10,12,4,3,11,13,8,12,9,6,4,6,19,8,8,4,5,4,6,5,4,5,6,2,3,5,3,4,8,3,4,3,3,2,2,0,5,2,1,4,0,1,2,3,2,0,0,3,2,0,0,1,2,1,0,0
